review_id,unternehmen,source,typ,datum,titel,gesamt_score,empfehlung,position,bereich,ort,sprache,arbeitsatmosphaere,work_life_balance,gehalt,karriere,vorgesetzte,gleichberechtigung,image,umwelt_sozial,kollegen,umgang_aeltere,arbeitsbedingungen,kommunikation,interessante_aufgaben,text_positiv,text_negativ,text_verbesserung,text_freitext,missing_ratings,has_freetext,is_duplicate,sentiment,kategorien,keywords,summary
nordzucker_kununu_1,Nordzucker,kununu,Mitarbeiter,2026-04-01,Klare Empfehlung,4.7,Empfohlen,Angestellte/r oder Arbeiter/in,Vertrieb / Verkauf,Braunschweig,de,5.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,Die Arbeitsatmosphäre ist offen und wertschätzend und das Unternehmen hat einen guten Ruf in der Region. Die Work-Life-Balance stimmt dank flexibler Arbeitszeiten.,Bei der Gleichberechtigung gibt es noch Nachholbedarf.,Aus meiner Sicht hilfreich: mehr Diversität in den Führungspositionen.,,0,True,False,positiv,"[""Arbeitsatmosphäre"", ""Work-Life-Balance"", ""Bezahlung"", ""Karriere & Weiterbildung"", ""Fuehrung & Vorgesetzte"", ""Kommunikation"", ""Arbeitsbedingungen"", ""Diversitaet & Gleichberechtigung"", ""Bewerbungsprozess"", ""Sonstiges""]","[""flexibler Arbeitszeit"", ""Gleichberechtigung"", ""Diversität in Führungspositionen""]","Die Arbeitsatmosphäre und Work-Life-Balance sind positiv, aber es gibt noch Nachholbedarf bei der Gleichberechtigung."
nordzucker_kununu_2,Nordzucker,kununu,Mitarbeiter,2026-03-01,"Gute Leute werden mit Arbeit zugedeckt, Mitläufer lässt man zufrieden.",4.2,Empfohlen,Angestellte/r oder Arbeiter/in,Produktion,Klein Wanzleben,de,4.0,5.0,4.0,4.0,3.0,5.0,4.0,4.0,5.0,5.0,4.0,3.0,4.0,Familie und Beruf sind gut vereinbar. Man hilft sich gegenseitig aus. Ältere und langjährige Kollegen werden wertgeschätzt.,Entscheidungen werden zu selten erklärt und wichtige Informationen erreichen einen oft erst spät.,Verbesserungspotenzial: mehr regelmäßiges Feedback durch die Vorgesetzten sowie eine klarere und schnellere interne Kommunikation.,,0,True,False,neutral,"[""Arbeitsatmosphaere"", ""Work-Life-Balance"", ""Fuehrung & Vorgesetzte"", ""Kommunikation"", ""Sonstiges""]","[""Feedback"", ""Kommunikation"", ""Regelmäßigkeit"", ""Verbesserungspotenzial"", ""Gute Leute""]","Das Unternehmen hat eine gute Arbeitsatmosphäre und einen guten Work-Life-Balance, aber es gibt Verbesserungspotenziale in der Kommunikation und bei der Regelmäßigkeit von Feedback."
nordzucker_kununu_3,Nordzucker,kununu,Mitarbeiter,2026-01-01,Früher war es besser als heute,1.5,Nicht empfohlen,Angestellte/r oder Arbeiter/in,Produktion,Klein Wanzleben,de,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,1.0,2.0,1.0,Man hilft sich gegenseitig aus.,In der Produktion ist die Work-Life-Balance durch Schichten belastend.,Aus meiner Sicht hilfreich: mehr Planungssicherheit bei der Schichtplanung sowie mehr Transparenz beim Gehaltssystem.,,0,True,False,negativ,"[""Arbeitsatmosphaere"", ""Work-Life-Balance"", ""Bezahlung"", ""Karriere & Weiterbildung"", ""Fuehrung & Vorgesetzte"", ""Kommunikation"", ""Arbeitsbedingungen"", ""Diversitaet & Gleichberechtigung"", ""Bewerbungsprozess"", ""Sonstiges""]","[""Schichtenbelastung"", ""Planungssicherheit"", ""Transparenz beim Gehaltssystem""]","Die Mitarbeiter sind der Meinung, dass die Arbeitsatmosphäre und die Work-Life-Balance nicht mehr so sind wie früher. Sie empfehlen mehr Planungssicherheit bei der Schichtplanung und Transparenz beim Gehaltssystem."
nordzucker_kununu_4,Nordzucker,kununu,Mitarbeiter,2025-10-01,Nordzucker. Top oder Flop - Es kommt auf die Abteilung an,3.8,Empfohlen,Angestellte/r oder Arbeiter/in,Nordzucker AG,Braunschweig,de,3.0,4.0,5.0,3.0,2.0,4.0,4.0,5.0,4.0,3.0,5.0,2.0,5.0,Es gibt gute Sozialleistungen und Zusatzangebote und das Unternehmen handelt umwelt- und sozialbewusst. Moderne Arbeitsmittel stehen zur Verfügung.,In Stoßzeiten wird die Atmosphäre schnell angespannt.,Verbesserungspotenzial: ein einheitlicheres Miteinander über alle Abteilungen hinweg sowie ein strukturiertes Weiterbildungsprogramm für alle.,,0,True,False,neutral,"[""Arbeitsatmosphäre"", ""Work-Life-Balance"", ""Diversitaet & Gleichberechtigung"", ""Bewerbungsprozess"", ""Sonstiges""]","[""Sozialleistungen"", ""Umwelt- und sozialbewusst"", ""Arbeitsatmosphäre"", ""Weiterbildungsprogramm"", ""Einheitliches Miteinander""]","Das Unternehmen bietet gute Sozialleistungen und moderne Arbeitsmittel, aber die Arbeitsatmosphäre kann in Stoßzeiten angespannt werden. Verbesserungspotenzial besteht darin, ein einheitlicheres Miteinander über alle Abteilungen hinweg sowie ein strukturiertes Weiterbildungsprogramm zu schaffen."
nordzucker_kununu_5,Nordzucker,kununu,Mitarbeiter,2025-09-01,Mehr als Zufrieden,5.0,Empfohlen,Auszubildende/r,Industriemechaniker,Uelzen,de,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Die Arbeitsatmosphäre ist offen und wertschätzend und das Unternehmen hat einen guten Ruf in der Region. Gleitzeit und Homeoffice lassen sich gut nutzen.,Die Aufgaben können zeitweise eintönig werden.,Wünschenswert: mehr Abwechslung und Eigenverantwortung in den Aufgaben.,,0,True,False,positiv,"[""Arbeitsatmosphäre"", ""Work-Life-Balance"", ""Bewerbungsprozess""]","[""Gleitzeit"", ""Homeoffice"", ""Abwechslung"", ""Eigenverantwortung""]","Die Mitarbeiter sind zufrieden mit der Arbeitsatmosphäre und dem Work-Life-Balance, aber wünschen sich mehr Abwechslung in den Aufgaben."
nordzucker_kununu_6,Nordzucker,kununu,Mitarbeiter,2025-09-01,Super Einblick und tolle Betreuung während meines Praktikums,4.8,Empfohlen,Ex-Praktikant/in,Logistik / Materialwirtschaft,Braunschweig,de,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,Man fühlt sich im Team gut aufgehoben. Das Unternehmen hat einen guten Ruf in der Region.,Die Kommunikation zwischen den Abteilungen ist ausbaufähig.,Aus meiner Sicht hilfreich: eine klarere und schnellere interne Kommunikation.,,0,True,False,positiv,"[""Arbeitsatmosphaere"", ""Bewerbungsprozess"", ""Kommunikation""]","[""Tolerante Atmosphäre"", ""Gute Kommunikation"", ""Praktikum"", ""Unternehmen mit gutem Ruf""]","Das Unternehmen bietet eine positive Arbeitsatmosphäre und gute Betreuung an, ist jedoch noch bei der Kommunikation zwischen Abteilungen unterwegs."
nordzucker_kununu_7,Nordzucker,kununu,Mitarbeiter,2025-09-01,Guter Arbeitgeber,5.0,Empfohlen,Angestellte/r oder Arbeiter/in,Produktion,Schladen,de,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Das Betriebsklima ist sehr angenehm. Das Unternehmen hat einen guten Ruf in der Region. Familie und Beruf sind gut vereinbar.,Die Aufgaben können zeitweise eintönig werden.,Aus meiner Sicht hilfreich: mehr Abwechslung und Eigenverantwortung in den Aufgaben.,,0,True,False,positiv,"[""Arbeitsatmosphaere"", ""Work-Life-Balance"", ""Bewerbungsprozess""]","[""angenehmes Betriebsklima"", ""guter Ruf"", ""Familie und Beruf vereinbar"", ""eintönige Aufgaben"", ""Abwechslung und Eigenverantwortung""]","Der Mitarbeiter lobt das positive Arbeitsklima, die gute Work-Life-Balance und den guten Ruf des Unternehmens. Er empfiehlt jedoch mehr Abwechslung in den Aufgaben."
nordzucker_kununu_8,Nordzucker,kununu,Mitarbeiter,2025-05-01,Spannender Job mit viel Abwechslung,4.2,Empfohlen,Führungskraft,Administration / Verwaltung,Klein Wanzleben,de,4.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,Nachhaltigkeit wird hier ernst genommen. Alle werden gleich und respektvoll behandelt.,Wichtige Informationen erreichen einen oft erst spät.,Aus meiner Sicht hilfreich: eine klarere und schnellere interne Kommunikation.,,0,True,False,positiv,"[""Arbeitsatmosphaere"", ""Kommunikation"", ""Diversitaet & Gleichberechtigung""]","[""Abwechslung"", ""Nachhaltigkeit"", ""Gleichberechtigung"", ""Interne Kommunikation""]","Der Mitarbeiter schätzt die Arbeitsatmosphäre und die Betonung der Nachhaltigkeit, sowie die respektvolle Behandlung aller Mitarbeiter."
nordzucker_kununu_9,Nordzucker,kununu,Mitarbeiter,2025-05-01,War lange Zeit guter Arbeitgeber,3.9,Nicht empfohlen,Angestellte/r oder Arbeiter/in,NORDZUCKER GmbH & Co. KG,Klein Wanzleben,de,3.0,4.0,5.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,Die Bezahlung ist fair und kommt pünktlich und man arbeitet gerne für eine bekannte Marke.,Die Stimmung ist je nach Abteilung sehr unterschiedlich.,Wünschenswert: regelmäßige Teamevents zur Stärkung des Zusammenhalts sowie einheitlichere Führungsstandards.,,0,True,False,positiv,"[""Arbeitsatmosphaere"", ""Work-Life-Balance"", ""Bezahlung"", ""Karriere & Weiterbildung"", ""Fuehrung & Vorgesetzte"", ""Kommunikation"", ""Arbeitsbedingungen"", ""Diversitaet & Gleichberechtigung"", ""Bewerbungsprozess"", ""Sonstiges""]","[""guter Arbeitgeber"", ""fair Bezahlung"", ""regelmäßige Teamevents"", ""einheitlichere Führungsstandards"", ""Stärkung des Zusammenhalts""]","Der Mitarbeiter ist mit der Bezahlung und dem Unternehmen zufrieden, jedoch kritisch zu den unterschiedlichen Arbeitsatmosphären innerhalb der Abteilungen."
nordzucker_kununu_10,Nordzucker,kununu,Mitarbeiter,2025-05-01,Ein grundlegend solider und sehr guter Arbeitgeber aber vieles steht und fällt mit dem Vorgesetzten,3.8,Empfohlen,Angestellte/r oder Arbeiter/in,Administration / Verwaltung,Braunschweig,de,4.0,5.0,4.0,2.0,2.0,5.0,4.0,5.0,4.0,4.0,4.0,3.0,4.0,Gleitzeit und Homeoffice lassen sich gut nutzen und Nachhaltigkeit wird hier ernst genommen. Alle werden gleich und respektvoll behandelt.,Wichtige Informationen erreichen einen oft erst spät. Weiterbildung hängt stark vom Vorgesetzten ab.,Wünschenswert: eine klarere und schnellere interne Kommunikation sowie transparentere Karrierewege.,,0,True,False,positiv,"[""Arbeitsatmosphaere"", ""Work-Life-Balance"", ""Bezahlung"", ""Karriere & Weiterbildung"", ""Fuehrung & Vorgesetzte"", ""Kommunikation"", ""Arbeitsbedingungen"", ""Diversitaet & Gleichberechtigung"", ""Bewerbungsprozess"", ""Sonstiges""]","[""Gleitzeit"", ""Homeoffice"", ""Nachhaltigkeit"", ""Weiterbildung"", ""Klarere Kommunikation""]","Ein guter Arbeitgeber mit Stärken in Work-Life-Balance und Nachhaltigkeit, aber Herausforderungen bei der Kommunikation und Karrierechancen."
